Rank,Dex #,Base Species,Votes,
337th,796,Xurkitree,20,
338th,145,Zapdos,20,
339th,154,nium,20,
340th,563,Cofagrigus,19,
341st,419,Floatzel,19,
342nd,316,Gulpin,19,
343rd,647,Keldeo,19,
344th,171,Lanturn,19,
345th,241,Miltank,19,
346th,122,Mr. Mime,19,
347th,741,Oricorio,19,
348th,536,Palpitoad,19,
349th,199,Slowking,19,
350th,361,Snorunt,19,
351st,577,Solosis,19,
352nd,618,Stunfisk,19,
353rd,777,Togedemaru,19,
354th,328,Trapinch,19,
355th,201,Unown,19,
356th,738,Vikavolt,19,
357th,746,Wishiwashi,19,
358th,493,Arceus,18,
359th,573,Cinccino,18,
360th,693,Clawitzer,18,
361st,780,Drampa,18,
362nd,500,Emboar,18,
363rd,103,Exeggutor,18,
364th,180,Flaaffy,18,
365th,676,Furfrou,18,
366th,720,Hoopa Confined,18,
367th,784,Kommo-o,18,
368th,53,Persian,18,
369th,233,Porygon2,18,
370th,912,Quaxly,18,
371st,235,Smeargle,18,
372nd,209,Snubbull,18,
373rd,759,Stufful,18,
374th,541,Swadloon,18,
375th,278,Wingull,18,
376th,178,Xatu,18,
377th,153,Bayleef,17,
378th,36,Clefable,17,
379th,222,Corsola,17,
380th,613,Cubchoo,17,
381st,691,Dragalge,17,
382nd,452,Drapion,17,
383rd,246,Larvitar,17,
384th,68,Machamp,17,
385th,407,Roserade,17,
386th,757,Salandit,17,
387th,903,Sneasler,17,
388th,283,Surskit,17,
389th,220,Swinub,17,
390th,1024,Terapagos,17,
391st,324,Torkoal,17,
392nd,733,Toucannon,17,
393rd,772,Type: Null,17,
394th,752,Araquanid,16,
395th,566,Archen,16,
396th,610,Axew,16,
397th,703,Carbink,16,
398th,1002,Chien-Pao,16,
399th,50,Diglett,16,
400th,882,Dracovish,16,
401st,621,Druddigon,16,
402nd,557,Dwebble,16,
403rd,44,Gloom,16,
404th,576,Gothitelle,16,
405th,861,Grimmsnarl,16,
406th,695,Heliolisk,16,
407th,862,Obstagoon,16,
408th,18,Pidgeot,16,
409th,78,Rapidash,16,
410th,19,Rattata,16,
411th,486,Regigigas,16,
412th,756,Shiinotic,16,
413th,528,Swoobat,16,
414th,763,Tsareena,16,
415th,901,Ursaluna,16,
416th,892,Urshifu,16,
417th,1009,Walking Wake,16,
418th,717,Yveltal,16,
419th,936,Armarouge,15,
420th,939,Bellibolt,15,
421st,113,Chansey,15,
422nd,358,Chimecho,15,
423rd,344,Claydol,15,
424th,875,Eiscue,15,
425th,656,Froakie,15,
426th,810,Grookey,15,
427th,404,Luxio,15,
428th,808,Meltan,15,
429th,312,Minun,15,
430th,322,Numel,15,
431st,871,Pincurchin,15,
432nd,311,Plusle,15,
433rd,814,Raboot,15,
434th,928,Smoliv,15,
435th,562,Yamask,15,
436th,836,Boltund,14,
437th,628,Braviary,14,
438th,852,Clobbopus,14,
439th,346,Cradily,14,
440th,232,Donphan,14,
441st,661,Fletchling,14,
442nd,526,Gigalith,14,
443rd,362,Glalie,14,
444th,55,Golduck,14,
445th,115,Kangaskhan,14,
446th,983,Kingambit,14,
447th,230,Kingdra,14,
448th,490,Manaphy,14,
449th,226,Mantine,14,
450th,877,Morpeko,14,
451st,484,Palkia,14,
452nd,243,Raikou,14,
453rd,743,Ribombee,14,
454th,527,Woobat,14,
455th,485,ran,14,
456th,1018,Archaludon,13,
457th,69,Bellsprout,13,
458th,779,Bruxish,13,
459th,406,Budew,13,
460th,170,Chinchou,13,
461st,91,Cloyster,13,
462nd,589,Escavalier,13,
463rd,981,Farigiraf,13,
464th,662,Fletchinder,13,
465th,1000,Gholdengo,13,
466th,383,Groudon,13,
467th,720,Hoopa Unbound,13,
468th,97,Hypno,13,
469th,775,Komala,13,
470th,166,Ledian,13,
471st,264,Linoone,13,
472nd,458,Mantyke,13,
473rd,809,Melmetal,13,
474th,1008,Miraidon,13,
475th,177,Natu,13,
476th,672,Skiddo,13,
477th,848,Toxel,13,
478th,320,Wailmer,13,
479th,13,Weedle,13,
480th,40,Wigglytuff,13,
481st,713,Avalugg,12,
482nd,427,Buneary,12,
483rd,351,Castform,12,
484th,433,Chingling,12,
485th,84,Doduo,12,
486th,841,Flapple,12,
487th,1006,Iron Valiant,12,
488th,109,Koffing,12,
489th,310,Manectric,12,
490th,921,Pawmi,12,
491st,519,Pidove,12,
492nd,62,Poliwrath,12,
493rd,855,Polteageist,12,
494th,537,Seismitoad,12,
495th,911,Skeledirge,12,
496th,791,Solgaleo,12,
497th,665,Spewpa,12,
498th,442,Spiritomb,12,
499th,128,Tauros,12,
500th,41,Zubat,12,
501st,348,Armaldo,11,
502nd,182,Bellossom,11,
503rd,580,Ducklett,11,
504th,632,Durant,11,
505th,125,Electabuzz,11,
506th,598,Ferrothorn,11,
507th,973,Flamigo,11,
508th,205,Forretress,11,
509th,76,Golem,11,
510th,679,Honedge,11,
511th,601,Klinklang,11,
512th,402,Kricketune,11,
513th,82,Magneton,11,
514th,793,Nihilego,11,
515th,770,Palossand,11,
516th,795,Pheromosa,11,
517th,369,Relicanth,11,
518th,464,Rhyperior,11,
519th,539,Sawk,11,
520th,217,Ursaring,11,
521st,543,Venipede,11,
522nd,100,Voltorb,11,
523rd,469,Yanmega,11,
524th,734,Yungoos,11,
525th,888,Zacian,11,
526th,460,Abomasnow,10,
527th,698,Amaura,10,
528th,24,Arbok,10,
529th,998,Baxcalibur,10,
530th,794,Buzzwole,10,
531st,789,Cosmog,10,
532nd,742,Cutiefly,10,
533rd,87,Dewgong,10,
534th,529,Drilbur,10,
535th,669,Flabébé,10,
536th,592,Frillish,10,
537th,711,Gourgeist,10,
538th,250,Ho-oh,10,
539th,187,Hoppip,10,
540th,876,Indeedee,10,
541st,124,Jynx,10,
542nd,64,Kadabra,10,
543rd,370,Luvdisc,10,
544th,126,Magmar,10,
545th,687,Malamar,10,
546th,284,Masquerain,10,
547th,517,Munna,10,
548th,291,Ninjask,10,
549th,923,Pawmot,10,
550th,279,Pelipper,10,
551st,57,Primeape,10,
552nd,432,Purugly,10,
553rd,409,Rampardos,10,
554th,112,Rhydon,10,
555th,273,Seedot,10,
556th,319,Sharpedo,10,
557th,850,Sizzlipede,10,
558th,685,Slurpuff,10,
559th,957,Tinkatink,10,
560th,176,Togetic,10,
561st,48,Venonat,10,
562nd,110,Weezing,10,
563rd,767,Wimpod,10,
564th,835,Yamper,10,
565th,347,Anorith,9,
566th,881,Arctozolt,9,
567th,482,Azelf,9,
568th,323,Camerupt,9,
569th,341,Corphish,9,
570th,96,Drowzee,9,
571st,51,Dugtrio,9,
572nd,578,Duosion,9,
573rd,269,Dustox,9,
574th,239,Elekid,9,
575th,890,Eternatus,9,
576th,622,Golett,9,
577th,971,Greavard,9,
578th,859,Impidimp,9,
579th,782,Jangmo-o,9,
580th,140,Kabuto,9,
581st,281,Kirlia,9,
582nd,1007,Koraidon,9,
583rd,401,Kricketot,9,
584th,552,Krokorok,9,
585th,636,Larvesta,9,
586th,296,Makuhita,9,
587th,56,Mankey,9,
588th,755,Morelull,9,
589th,827,Nickit,9,
590th,31,Nidoqueen,9,
591st,95,Onix,9,
592nd,47,Parasect,9,
593rd,769,Sandygast,9,
594th,586,Sawsbuck,9,
595th,336,Seviper,9,
596th,396,Starly,9,
597th,785,Tapu Koko,9,
598th,73,Tentacruel,9,
599th,960,Wiglett,9,
600th,424,Ambipom,8,
601st,689,Barbaracle,8,
602nd,411,Bastiodon,8,
603rd,606,Beheeyem,8,
604th,242,Blissey,8,
605th,974,Cetoddle,8,
606th,421,Cherrim,8,
607th,415,Combee,8,
608th,356,Dusclops,8,
609th,605,Elgyem,8,
610th,907,Floragato,8,
611th,873,Frosmoth,8,
612th,820,Greedent,8,
613th,736,Grubbin,8,
614th,799,Guzzlord,8,
615th,856,Hatenna,8,
616th,237,Hitmontop,8,
617th,228,Houndour,8,
618th,686,Inkay,8,
619th,991,Iron Bundle,8,
620th,352,Kecleon,8,
621st,99,Kingler,8,
622nd,667,Litleo,8,
623rd,619,Mienfoo,8,
624th,749,Mudbray,8,
625th,932,Nacli,8,
626th,804,Naganadel,8,
627th,33,Nidorino,8,
628th,224,Octillery,8,
629th,675,Pangoro,8,
630th,1025,Pecharunt,8,
631st,221,Piloswine,8,
632nd,758,Salazzle,8,
633rd,161,Sentret,8,
634th,516,Simipour,8,
635th,435,Skuntank,8,
636th,289,Slaking,8,
637th,805,Stakataka,8,
638th,317,Swalot,8,
639th,277,Swellow,8,
640th,1001,Wo-Chien,8,
641st,339,Barboach,7,
642nd,712,Bergmite,7,
643rd,525,Boldore,7,
644th,331,Cacnea,7,
645th,5,Charmeleon,7,
646th,1004,Chi-Yu,7,
647th,408,Cranidos,7,
648th,585,Deerling,7,
649th,477,Dusknoir,7,
650th,603,Eelektrik,7,
651st,101,Electrode,7,
652nd,295,Exploud,7,
653rd,92,Gastly,7,
654th,74,Geodude,7,
655th,970,Glimmora,7,
656th,297,Hariyama,7,
657th,857,Hattrem,7,
658th,694,Helioptile,7,
659th,507,Herdier,7,
660th,189,Jumpluff,7,
661st,950,Klawf,7,
662nd,308,Medicham,7,
663rd,481,Mesprit,7,
664th,146,Moltres,7,
665th,860,Morgrem,7,
666th,299,Nosepass,7,
667th,138,Omanyte,7,
668th,513,Pansear,7,
669th,46,Paras,7,
670th,624,Pawniard,7,
671st,499,Pignite,7,
672nd,127,Pinsir,7,
673rd,803,Poipole,7,
674th,1021,Raging Bolt,7,
675th,1005,Roaring Moon,7,
676th,90,Shellder,7,
677th,266,Silcoon,7,
678th,514,Simisear,7,
679th,1013,Sinistcha,7,
680th,188,Skiploom,7,
681st,451,Skorupi,7,
682nd,459,Snover,7,
683rd,120,Staryu,7,
684th,874,Stonjourner,7,
685th,465,Tangrowth,7,
686th,786,Tapu Lele,7,
687th,776,Turtonator,7,
688th,696,Tyrunt,7,
689th,584,Vanilluxe,7,
690th,666,Vivillon,7,
691st,360,Wynaut,7,
692nd,631,mor,7,
693rd,438,Bonsly,6,
694th,420,Cherubi,6,
695th,833,Chewtle,6,
696th,173,Cleffa,6,
697th,534,Conkeldurr,6,
698th,342,Crawdaunt,6,
699th,723,Dartrix,6,
700th,751,Dewpider,6,
701st,880,Dracozolt,6,
702nd,884,Duraludon,6,
703rd,349,Feebas,6,
704th,934,Garganacl,6,
705th,575,Gothorita,6,
706th,88,Grimer,6,
707th,107,Hitmonchan,6,
708th,106,Hitmonlee,6,
709th,593,Jellicent,6,
710th,463,Lickilicky,6,
711th,510,Liepard,6,
712th,506,Lillipup,6,
713th,457,Lumineon,6,
714th,747,Mareanie,6,
715th,259,Marshtomp,6,
716th,11,Metapod,6,
717th,391,Monferno,6,
718th,518,Musharna,6,
719th,968,Orthworm,6,
720th,511,Pansage,6,
721st,863,Perrserker,6,
722nd,476,Probopass,6,
723rd,668,Pyroar,6,
724th,966,Revavroom,6,
725th,812,Rillaboom,6,
726th,496,Servine,6,
727th,218,Slugma,6,
728th,167,Spinarak,6,
729th,192,Sunflora,6,
730th,684,Swirlix,6,
731st,828,Thievul,6,
732nd,811,Thwackey,6,
733rd,582,Vanillite,6,
734th,193,Yanma,6,
735th,523,Zebstrika,6,
736th,634,Zweilous,6,
737th,142,Aerodactyl,5,
738th,761,Bounsweet,5,
739th,437,Bronzong,5,
740th,565,Carracosta,5,
741st,797,Celesteela,5,
742nd,839,Coalossal,5,
743rd,822,Corvisquire,5,
744th,615,Cryogonal,5,
745th,825,Dottler,5,
746th,982,Dudunsparce,5,
747th,309,Electrike,5,
748th,1016,Fezandipiti,5,
749th,670,Floette,5,
750th,611,Fraxure,5,
751st,116,Horsea,5,
752nd,599,Klink,5,
753rd,920,Lokix,5,
754th,943,Mabosstiff,5,
755th,66,Machop,5,
756th,765,Oranguru,5,
757th,16,Pidgey,5,
758th,509,Purrloin,5,
759th,651,Quilladin,5,
760th,211,Qwilfish,5,
761st,894,Regieleki,5,
762nd,379,Registeel,5,
763rd,953,Rellor,5,
764th,627,Rufflet,5,
765th,985,Scream Tail,5,
766th,117,Seadra,5,
767th,854,Sinistea,5,
768th,897,Spectrier,5,
769th,682,Spritzee,5,
770th,602,Tynamo,5,
771st,480,Uxie,5,
772nd,640,Virizion,5,
773rd,365,Walrein,5,
774th,505,Watchog,5,
775th,70,Weepinbell,5,
776th,544,Whirlipede,5,
777th,413,Wormadam,5,
778th,961,Wugtrio,5,
779th,889,Zamazenta,5,
780th,893,Zarude,5,
781st,298,Azurill,4,
782nd,343,Baltoy,4,
783rd,902,Basculegion,4,
784th,374,Beldum,4,
785th,729,Brionne,4,
786th,898,Calyrex,4,
787th,455,Carnivine,4,
788th,975,Cetitan,4,
789th,366,Clamperl,4,
790th,764,Comfey,4,
791st,879,Copperajah,4,
792nd,488,Cresselia,4,
793rd,301,Delcatty,4,
794th,23,Ekans,4,
795th,830,Eldegoss,4,
796th,956,Espathra,4,
797th,102,Exeggcute,4,
798th,22,Fearow,4,
799th,671,Florges,4,
800th,987,Flutter Mane,4,
801st,753,Fomantis,4,
802nd,444,Gabite,4,
803rd,999,Gimmighoul,4,
804th,984,Great Tusk,4,
805th,326,Grumpig,4,
806th,440,Happiny,4,
807th,449,Hippopotas,4,
808th,941,Kilowattrel,4,
809th,98,Krabby,4,
810th,305,Lairon,4,
811th,219,Magcargo,4,
812th,467,Magmortar,4,
813th,630,Mandibuzz,4,
814th,375,Metang,4,
815th,868,Milcery,4,
816th,439,Mime Jr.,4,
817th,164,Noctowl,4,
818th,1014,Okidogi,4,
819th,964,Palafin,4,
820th,922,Pawmo,4,
821st,548,Petilil,4,
822nd,204,Pineco,4,
823rd,20,Raticate,4,
824th,315,Roselia,4,
825th,867,Runerigus,4,
826th,616,Shelmet,4,
827th,275,Shiftry,4,
828th,287,Slakoth,4,
829th,238,Smoochum,4,
830th,234,Stantler,4,
831st,762,Steenee,4,
832nd,191,Sunkern,4,
833rd,532,Timburr,4,
834th,948,Toedscool,4,
835th,49,Venomoth,4,
836th,329,Vibrava,4,
837th,71,Victreebel,4,
838th,591,Amoonguss,3,
839th,930,Arboliva,3,
840th,371,Bagon,3,
841st,614,Beartic,3,
842nd,522,Blitzle,3,
843rd,962,Bombirdier,3,
844th,436,Bronzor,3,
845th,659,Bunnelby,3,
846th,935,Charcadet,3,
847th,692,Clauncher,3,
848th,638,Cobalion,3,
849th,546,Cottonee,3,
850th,740,Crabominable,3,
851st,864,Cursola,3,
852nd,967,Cyclizar,3,
853rd,85,Dodrio,3,
854th,680,Doublade,3,
855th,886,Drakloak,3,
856th,834,Drednaw,3,
857th,817,Drizzile,3,
858th,963,Finizen,3,
859th,590,Foongus,3,
860th,996,Frigibax,3,
861st,431,Glameow,3,
862nd,853,Grapploct,3,
863rd,75,Graveler,3,
864th,783,Hakamo-o,3,
865th,972,Houndstone,3,
866th,174,Igglybuff,3,
867th,1010,Iron Leaves,3,
868th,994,Iron Moth,3,
869th,588,Karrablast,3,
870th,900,Kleavor,3,
871st,645,Landorus,3,
872nd,271,Lombre,3,
873rd,866,Mr. Rime,3,
874th,29,Nidoran♀,3,
875th,32,Nidoran♂,3,
876th,30,Nidorina,3,
877th,826,Orbeetle,3,
878th,904,Overqwil,3,
879th,766,Passimian,3,
880th,17,Pidgeotto,3,
881st,731,Pikipek,3,
882nd,394,Prinplup,3,
883rd,914,Quaquaval,3,
884th,378,Regice,3,
885th,377,Regirock,3,
886th,664,Scatterbug,3,
887th,372,Shelgon,3,
888th,410,Shieldon,3,
889th,512,Simisage,3,
890th,819,Skwovet,3,
891st,434,Stunky,3,
892nd,1003,Ting-Lu,3,
893rd,958,Tinkatuff,3,
894th,949,Toedscruel,3,
895th,521,Unfezant,3,
896th,416,Vespiquen,3,
897th,721,Volcanion,3,
898th,168,Ariados,2,
899th,683,Aromatisse,2,
900th,847,Barraskewda,2,
901st,550,Basculin,2,
902nd,267,Beautifly,2,
903rd,947,Brambleghast,2,
904th,256,Combusken,2,
905th,790,Cosmoem,2,
906th,739,Crabrawler,2,
907th,159,Croconaw,2,
908th,878,Cufant,2,
909th,660,Diggersby,2,
910th,977,Dondozo,2,
911th,832,Dubwool,2,
912th,597,Ferroseed,2,
913th,388,Grotle,2,
914th,533,Gurdurr,2,
915th,1022,Iron Boulder,2,
916th,600,Klang,2,
917th,891,Kubfu,2,
918th,165,Ledyba,2,
919th,240,Magby,2,
920th,942,Maschiff,2,
921st,150,Mewtwo X,2,
922nd,150,Mewtwo Y,2,
923rd,414,Mothim,2,
924th,1015,Munkidori,2,
925th,933,Naclstack,2,
926th,290,Nincada,2,
927th,274,Nuzleaf,2,
928th,139,Omastar,2,
929th,1012,Poltchageist,2,
930th,247,Pupitar,2,
931st,223,Remoraid,2,
932nd,111,Rhyhorn,2,
933rd,821,Rookidee,2,
934th,844,Sandaconda,2,
935th,989,Sandy Shocks,2,
936th,119,Seaking,2,
937th,86,Seel,2,
938th,690,Skrelp,2,
939th,705,Sliggoo,2,
940th,338,Solrock,2,
941st,581,Swanna,2,
942nd,276,Taillow,2,
943rd,642,Thundurus,2,
944th,564,Tirtouga,2,
945th,732,Trumbeak,2,
946th,535,Tympole,2,
947th,236,Tyrogue,2,
948th,583,Vanillish,2,
949th,965,Varoom,2,
950th,313,Volbeat,2,
951st,940,Wattrel,2,
952nd,293,Whismur,2,
953rd,617,Accelgor,1,
954th,594,Alomomola,1,
955th,997,Arctibax,1,
956th,400,Bibarel,1,
957th,688,Binacle,1,
958th,824,Blipbug,1,
959th,626,Bouffalant,1,
960th,986,Brute Bonnet,1,
961st,412,Burmy,1,
962nd,951,Capsakid,1,
963rd,838,Carkol,1,
964th,268,Cascoon,1,
965th,929,Dolliv,1,
966th,905,Enamorus,1,
967th,456,Finneon,1,
968th,955,Flittle,1,
969th,657,Frogadier,1,
970th,896,Glastrier,1,
971st,969,Glimmet,1,
972nd,118,Goldeen,1,
973rd,368,Gorebyss,1,
974th,1020,Gouging Fire,1,
975th,210,Granbull,1,
976th,450,Hippowdon,1,
977th,163,Hoothoot,1,
978th,992,Iron Hands,1,
979th,995,Iron Thorns,1,
980th,14,Kakuna,1,
981st,798,Kartana,1,
982nd,345,Lileep,1,
983rd,294,Loudred,1,
984th,337,Lunatone,1,
985th,67,Machoke,1,
986th,307,Meditite,1,
987th,919,Nymble,1,
988th,515,Panpour,1,
989th,504,Patrat,1,
990th,489,Phione,1,
991st,913,Quaxwell,1,
